"","sample_key","site","analyst","X1","metal","conc_blanked","conc_blanked_error","conc_unblanked","conc_unblanked_error"
"1",10,"F","CYT",2,"Chromium",1.93606479277095,NA,643.263501539319,NA
"2",12,"F","DJHR",4,"Chromium",6.70557182440226,NA,1101.02520561662,NA
"3",13,"QC","DJHR",5,"Chromium",37.2355897948382,108.248540161422,4173.87592869584,10932.3569641528
"4",14,"D","CAG",6,"Chromium",13.1972114072863,102.760964118626,1702.69381488896,10378.733863306
"5",15,"QC","CAG",7,"Chromium",45.8542434584771,NA,5044.35263281314,9715.25496857183
"6",16,"F","JHV",8,"Chromium",12.1970821241193,93.4712079618325,1672.08683447507,9439.55194127021
"7",17,"QC","JHV",9,"Chromium",51.1856664329877,141.861026572017,5498.7517516968,14327.9410712658
"8",18,"D","SJB",10,"Chromium",11.056349109218,30.5266337841033,1398.58843690709,3082.22201391965
"9",19,"QC","SJB",11,"Chromium",52.0689396311168,162.779214886252,5544.54501003555,16440.5499315429
"10",21,"D","MD",14,"Chromium",5.26687436767533,24.0547146414703,934.928849294005,2421.11944385024
"11",22,"E","SEP",15,"Chromium",18.384044088101,64.2366693241871,2246.73598106854,6485.54726451147
"12",23,"QC","SEP",16,"Chromium",51.6265950249459,182.406077921906,5746.73250633421,18421.1584228678
"13",24,"C","SGB",17,"Chromium",45.5483901934014,148.288720235245,5024.69322546693,14976.4277386754
"14",26,"C","AWB",19,"Chromium",22.2753437983252,158.035082112668,2669.89164964934,15960.9471759095
"15",27,"QC","AWB",20,"Chromium",46.0517398441998,76.9244304244499,5041.77029183091,7767.4694697297
"16",38,"C","GB",27,"Chromium",31.866287220121,181.280541180606,3705.51634239671,18308.6940116863
"17",39,"QC","GB",28,"Chromium",41.5779247500526,77.2560474887197,4619.39068764841,7801.15989787684
"18",40,"B","AB",30,"Chromium",16.9419886949757,54.7569790030022,2073.32027017933,5530.24316963278
"19",41,"B","LF",31,"Chromium",18.65449967035,22.725552964211,2183.64558150477,2293.8575830163
"20",44,"QC","KAD",34,"Chromium",64.6204096350222,146.111715775334,6992.62917417962,14756.3853372608
"21",45,"B","KAD",35,"Chromium",18.158423483275,34.4433910685634,2205.06181992162,3473.88740546944
"22",46,"A","LML",36,"Chromium",24.4558210011196,87.2260736709539,2866.54787437186,8808.70544619339
"23",47,"QC","LML",37,"Chromium",56.9888422543487,73.5813404961709,6171.09820535969,7430.56970788701
"24",48,"A","AH",38,"Chromium",32.7503980875941,137.170072007318,3743.04483308124,13853.4536783367
"25",51,"C","LG",42,"Chromium",9.56342026782404,12.8846186211308,1394.89401043572,1294.02660239866
"26",52,"B","MF",43,"Chromium",7.10909781240051,23.696328545451,893.067491681989,2392.18899147527
"27",53,"QC","MF",44,"Chromium",28.051200230803,121.168045132345,3036.83769421981,12237.8962560107
"28",54,"A","LAK",45,"Chromium",15.5837360886285,42.3058643184719,1960.81243949847,4271.16017636034
"29",56,"A","AVM",47,"Chromium",19.4446626197256,86.0365937398759,2402.14486968493,8688.57502376804
"30",57,"QC","AVM",48,"Chromium",55.976339584437,180.180559503151,6078.95018173559,18197.7777332707
"31",58,"B","SS",49,"Chromium",19.8959153276242,47.2890364769186,2411.10505924859,4773.57923811871
"32",59,"QC","SS",50,"Chromium",55.7799711117066,NA,5971.9541672731,5590.99465958977
"33",6,"C","MRMJ",51,"Chromium",23.8390227388791,NA,2776.78080493014,14616.2294509157
"34",8,"E","ARG",58,"Chromium",8.30029329742672,NA,1308.98280032145,NA
