"","metal","site","mean_conc","sd_conc","n","CI","lower_ci","upper_ci"
"1","As75","A",2.86785797377585,1.0556557864209,4,0.00103452366072814,1.83333431304771,3.90238163450399
"2","As75","B",3.09391704691336,0.982505996705804,5,0.000861188652364297,2.23272839454906,3.95510569927766
"3","As75","C",3.77472360471949,1.40134657062943,5,0.00122831185631639,2.5464117484031,5.00303546103588
"4","As75","D",2.23602356067536,0.517222392363584,3,0.00058528148054338,1.65074208013198,2.82130504121874
"5","As75","E",4.11913145118612,1.73374540825953,2,0.00240280439175557,1.71632705943055,6.52193584294169
"6","As75","F",3.53938705780535,2.43987055136557,3,0.00276092270891784,0.778464348887502,6.30030976672319
"7","As75","QC",13.9454190396564,2.633020049912,12,0.00148974396300847,12.455675076648,15.4351630026649
"8","Cd111","A",0.117160708141432,0.0199070859279321,4,1.95085857279455e-05,0.0976521224134862,0.136669293869377
"9","Cd111","B",0.137624366963979,0.0469265003980807,5,4.11321353492936e-05,0.0964922316146858,0.178756502313273
"10","Cd111","C",0.166306616609713,0.0385150459263486,5,3.37593059057867e-05,0.132547310703926,0.200065922515499
"11","Cd111","D",0.138380541657044,0.0160465157255665,3,1.815800827668e-05,0.120222533380364,0.156538549933724
"12","Cd111","E",0.113568557678788,0.0078945119903598,2,1.0941034358814e-05,0.102627523319974,0.124509592037602
"13","Cd111","F",0.0843112039597376,0.0402168071644513,3,4.55087652573855e-05,0.0388024387023521,0.129819969217123
"14","Cd111","QC",2.37870525969571,0.426755231932942,12,0.000241455066198842,2.13725019349687,2.62016032589455
"15","Cd114","A",0.249024521911008,0.112765893861626,4,0.000110508545326627,0.138515976584381,0.359533067237634
"16","Cd114","B",0.278668208337066,0.101731726365096,5,8.91701512507756e-05,0.18949805708629,0.367838359587841
"17","Cd114","C",0.297842673027941,0.14774541580277,5,0.000129502187217988,0.168340485809954,0.427344860245929
"18","Cd114","D",0.203061423740461,0.0554478639724897,3,6.27440118562655e-05,0.140317411884196,0.265805435596727
"19","Cd114","E",0.140164123033608,0.0305384272162609,2,4.23233230686403e-05,0.0978407999649674,0.182487446102248
"20","Cd114","F",0.0998391306302755,0.0561884739653546,3,6.35820755587056e-05,0.0362570550715699,0.163421206188981
"21","Cd114","QC",2.55501564852134,0.482713983408567,12,0.000273116128632108,2.28189951988923,2.82813177715345
"22","Cr52","A",23.7337289768306,7.6050518893204,4,0.00745281390181314,16.2809150750175,31.1865428786437
"23","Cr52","B",16.9128812752483,5.06106283420148,5,0.004436135653452,12.4767456217963,21.3490169287003
"24","Cr52","C",34.009374979826,16.9423039164151,5,0.0148503112720367,19.1590637077893,48.8596862518627
"25","Cr52","D",12.9678935219192,4.46585474970576,3,0.00505349752522335,7.91439599669581,18.0213910471425
"26","Cr52","E",19.4918335087836,8.83560743845372,2,0.0122453021394055,7.24653136937814,31.7371356481891
"27","Cr52","F",11.5553992864963,7.99630207361064,3,0.0090485013518615,2.50689793463477,20.6039006383578
"28","Cr52","QC",57.831133356473,11.2805858317615,12,0.00638247499962157,51.4486583568515,64.2136083560946
"29","Cr53","A",24.4726205777021,7.9197791265458,4,0.00776124092677093,16.7113796509311,32.233861504473
"30","Cr53","B",17.3523381471278,5.23865857799092,5,0.0045918023259939,12.7605358211339,21.9441404731217
"31","Cr53","C",34.9474305532976,17.436910458591,5,0.0152838450549706,19.663585498327,50.2312756082682
"32","Cr53","D",13.3220261277924,4.68224128511504,3,0.00529835744173866,8.02366868605375,18.6203835695311
"33","Cr53","E",20.029482761161,9.20022182938429,2,0.0127506226182091,7.27886014295189,32.78010537937
"34","Cr53","F",11.7473132039738,8.11785693078097,3,0.00918605109414312,2.56126210983064,20.9333642981169
"35","Cr53","QC",59.3150091953751,11.585506547123,12,0.00655499696538522,52.7600122299899,65.8700061607603
"36","Pb208","A",402.301391549476,316.270769525353,4,0.30993965881623,92.3617327332461,712.241050365706
"37","Pb208","B",356.024869257629,333.583601909836,5,0.292393546240696,63.6313230169328,648.418415498326
"38","Pb208","C",281.81683440317,48.7265471014546,5,0.0427099168588915,239.106917544278,324.526751262061
"39","Pb208","D",197.491730507235,106.609847014084,3,0.120638181993181,76.8535485140537,318.129912500416
"40","Pb208","E",120.736445836902,4.64943127336423,2,0.00644366458280647,114.292781254096,127.180110419709
"41","Pb208","F",99.1380905164555,67.1646909181372,3,0.0760026060765995,23.1354844398561,175.140696593055
"42","Pb208","QC",1191.8175805414,252.957784854526,12,0.143121710332446,1048.69587020895,1334.93929087385
